Return_ID,Return Type,Return Creation Date,Return Closed Date,Customer ID,SR ID,Product ID,R Order ID,Return Status,Return Value ($),Cost ($)
RET-50217,Warranty Claim,2025-07-31,2025-06-22,CUST-10752,SR-84622,PROD-11879,ORD-40264,Open,247,2908
RET-50218,Customer Dissatisfaction,2025-02-15,2025-03-21,CUST-10457,SR-81423,PROD-11564,ORD-44943,Rejected,3871,1062
RET-50219,Wrong Item,2025-06-18,2025-02-26,CUST-10884,SR-84940,PROD-11358,ORD-44493,Open,1571,1450
RET-50220,Wrong Item,2025-03-16,2025-05-02,CUST-10484,SR-82854,PROD-11300,ORD-41971,Rejected,3478,3840
RET-50221,Customer Dissatisfaction,2025-06-25,2025-03-08,CUST-10558,SR-82393,PROD-11037,ORD-43851,Approved,2569,1841
RET-50222,Defective,2025-04-01,2025-06-08,CUST-10279,SR-84685,PROD-11041,ORD-43863,Open,4846,3839
RET-50223,Warranty Claim,2025-07-14,2025-02-14,CUST-10763,SR-82982,PROD-11988,ORD-42944,Approved,1040,836
RET-50224,Customer Dissatisfaction,2025-02-04,2025-08-01,CUST-10459,SR-83314,PROD-11084,ORD-44387,Closed,386,2475
RET-50225,Damaged,2025-08-31,2025-08-11,CUST-10282,SR-82523,PROD-11542,ORD-44071,Closed,430,998
RET-50226,Wrong Item,2025-08-22,2025-06-09,CUST-10674,SR-80501,PROD-11917,ORD-44378,Approved,2148,144
RET-50227,Customer Dissatisfaction,2025-08-23,2025-07-09,CUST-10513,SR-82407,PROD-11270,ORD-44629,Open,4907,3701
RET-50228,Damaged,2025-03-08,2025-05-11,CUST-10972,SR-84060,PROD-11564,ORD-40788,Rejected,1837,1217
RET-50229,Warranty Claim,2025-05-30,2025-07-14,CUST-10641,SR-83039,PROD-11896,ORD-42395,Approved,4159,189
RET-50230,Damaged,2025-03-06,2025-05-08,CUST-10379,SR-83943,PROD-11346,ORD-43206,Approved,4148,3297
RET-50231,Damaged,2025-01-05,2025-02-15,CUST-10884,SR-84686,PROD-11322,ORD-40646,Open,4848,3944
RET-50232,Defective,2025-05-21,2025-08-13,CUST-10408,SR-82344,PROD-11123,ORD-43655,Approved,1905,240
RET-50233,Damaged,2025-04-14,2025-04-15,CUST-10781,SR-82414,PROD-11100,ORD-43222,Open,1395,58
RET-50234,Wrong Item,2025-06-11,2025-08-15,CUST-10588,SR-83900,PROD-11954,ORD-42360,Closed,563,3018
RET-50235,Damaged,2025-06-02,2025-04-01,CUST-10979,SR-82894,PROD-11415,ORD-42703,Closed,2861,2211
RET-50236,Defective,2025-06-12,2025-04-17,CUST-10902,SR-83284,PROD-11761,ORD-42257,Approved,3317,961
RET-50237,Defective,2025-08-29,2025-02-16,CUST-10479,SR-84645,PROD-11085,ORD-43185,Approved,682,1642
RET-50238,Customer Dissatisfaction,2025-04-28,2025-04-27,CUST-10102,SR-81391,PROD-11452,ORD-44410,In Progress,2333,3137
RET-50239,Warranty Claim,2025-04-04,2025-08-15,CUST-10423,SR-82415,PROD-11311,ORD-41221,Rejected,505,1040
RET-50240,Defective,2025-06-26,2025-05-28,CUST-10283,SR-80768,PROD-11799,ORD-43126,Approved,818,1394
RET-50241,Wrong Item,2025-07-08,2025-01-19,CUST-10953,SR-81538,PROD-11429,ORD-42591,Closed,3075,2107
RET-50242,Defective,2025-07-31,2025-08-08,CUST-10506,SR-84418,PROD-11436,ORD-42581,Open,4298,365
RET-50243,Defective,2025-05-11,2025-02-24,CUST-10868,SR-80189,PROD-11899,ORD-44920,Closed,2316,2114
RET-50244,Damaged,2025-05-18,2025-05-19,CUST-10623,SR-84923,PROD-11273,ORD-42164,Closed,713,2916
RET-50245,Customer Dissatisfaction,2025-01-25,2025-02-12,CUST-10621,SR-84809,PROD-11651,ORD-43671,Approved,2660,2599
RET-50246,Damaged,2025-07-04,2025-03-29,CUST-10660,SR-81147,PROD-11936,ORD-42514,Rejected,634,3860
RET-50247,Warranty Claim,2025-08-21,2025-04-16,CUST-10966,SR-84753,PROD-11044,ORD-40750,Approved,2369,514
RET-50248,Wrong Item,2025-01-05,2025-08-01,CUST-10171,SR-84503,PROD-11048,ORD-43473,Open,2728,1735
RET-50249,Warranty Claim,2025-07-12,2025-01-12,CUST-10123,SR-84425,PROD-11470,ORD-42909,Approved,4280,3285
RET-50250,Defective,2025-03-07,2025-03-17,CUST-10916,SR-81460,PROD-11667,ORD-40241,In Progress,2177,3382
RET-50251,Warranty Claim,2025-04-21,2025-04-25,CUST-10078,SR-83984,PROD-11126,ORD-41383,In Progress,4069,679
RET-50252,Warranty Claim,2025-03-08,2025-01-11,CUST-10640,SR-81794,PROD-11463,ORD-41850,Closed,1001,3793
RET-50253,Defective,2025-03-31,2025-02-03,CUST-10927,SR-84858,PROD-11065,ORD-42293,Approved,2830,3949
RET-50254,Wrong Item,2025-01-29,2025-07-01,CUST-10906,SR-81991,PROD-11566,ORD-43485,Open,935,822
RET-50255,Damaged,2025-01-25,2025-04-26,CUST-10687,SR-82398,PROD-11076,ORD-43669,In Progress,3859,3326
RET-50256,Damaged,2025-06-29,2025-06-01,CUST-10116,SR-80428,PROD-11972,ORD-42701,Rejected,1760,2992
RET-50257,Defective,2025-03-23,2025-04-13,CUST-10435,SR-84694,PROD-11606,ORD-42716,In Progress,1881,2263
RET-50258,Defective,2025-06-20,2025-05-16,CUST-10194,SR-83667,PROD-11088,ORD-44605,In Progress,4415,164
RET-50259,Damaged,2025-05-24,2025-02-24,CUST-10644,SR-80910,PROD-11772,ORD-44510,Approved,1340,1510
RET-50260,Customer Dissatisfaction,2025-01-27,2025-03-05,CUST-10849,SR-81562,PROD-11813,ORD-44744,Closed,2330,711
RET-50261,Warranty Claim,2025-04-04,2025-08-06,CUST-10154,SR-82462,PROD-11258,ORD-44399,Closed,1928,105
RET-50262,Warranty Claim,2025-07-04,2025-02-03,CUST-10540,SR-81459,PROD-11648,ORD-44609,Closed,1568,1854
RET-50263,Warranty Claim,2025-04-23,2025-04-04,CUST-10148,SR-80701,PROD-11721,ORD-44521,Rejected,853,2895
RET-50264,Damaged,2025-07-11,2025-08-08,CUST-10431,SR-83068,PROD-11182,ORD-44080,In Progress,4065,948
RET-50265,Wrong Item,2025-03-25,2025-01-07,CUST-10408,SR-83796,PROD-11045,ORD-40711,Closed,1059,3015
RET-50266,Damaged,2025-05-03,2025-01-15,CUST-10953,SR-81399,PROD-11309,ORD-40053,Approved,4754,2667
RET-50267,Defective,2025-05-22,2025-05-17,CUST-10379,SR-80055,PROD-11397,ORD-43917,Open,557,525
RET-50268,Damaged,2025-06-11,2025-07-20,CUST-10419,SR-83304,PROD-11026,ORD-40258,Open,4978,983
RET-50269,Damaged,2025-06-03,2025-06-14,CUST-10597,SR-81585,PROD-11871,ORD-44513,Closed,2949,2556
RET-50270,Damaged,2025-08-25,2025-05-07,CUST-10392,SR-84779,PROD-11420,ORD-44980,In Progress,4055,2247
RET-50271,Damaged,2025-06-05,2025-01-31,CUST-10372,SR-81059,PROD-11215,ORD-40080,In Progress,2453,1054
RET-50272,Damaged,2025-04-02,2025-06-26,CUST-10694,SR-84914,PROD-11611,ORD-40164,Open,3128,2993
RET-50273,Damaged,2025-07-18,2025-08-08,CUST-10207,SR-81846,PROD-11416,ORD-41184,In Progress,691,3219
RET-50274,Warranty Claim,2025-08-13,2025-06-08,CUST-10041,SR-83962,PROD-11119,ORD-41382,In Progress,4530,1517
RET-50275,Warranty Claim,2025-07-09,2025-04-11,CUST-10404,SR-83446,PROD-11200,ORD-41386,Approved,3351,2901
RET-50276,Warranty Claim,2025-05-30,2025-05-09,CUST-10213,SR-83325,PROD-11037,ORD-44290,Closed,4728,363
RET-50277,Defective,2025-03-29,2025-01-11,CUST-10252,SR-80789,PROD-11888,ORD-41470,Open,2518,2930
RET-50278,Wrong Item,2025-05-02,2025-07-05,CUST-10582,SR-84401,PROD-11014,ORD-43372,Approved,3550,2999
RET-50279,Wrong Item,2025-07-25,2025-02-04,CUST-10855,SR-81966,PROD-11200,ORD-40807,Closed,4530,1771
RET-50280,Warranty Claim,2025-05-22,2025-03-24,CUST-10612,SR-84120,PROD-11065,ORD-44823,Approved,4027,1945
RET-50281,Damaged,2025-04-20,2025-04-03,CUST-10987,SR-80211,PROD-11701,ORD-44140,Closed,4048,2858
RET-50282,Damaged,2025-03-04,2025-03-13,CUST-10390,SR-81599,PROD-11787,ORD-41963,Closed,1343,2052
RET-50283,Customer Dissatisfaction,2025-08-15,2025-07-09,CUST-10705,SR-80589,PROD-11237,ORD-44739,Open,1722,1721
RET-50284,Wrong Item,2025-03-10,2025-02-07,CUST-10123,SR-82168,PROD-11434,ORD-43560,Approved,3330,3833
RET-50285,Damaged,2025-06-05,2025-07-15,CUST-10974,SR-81138,PROD-11234,ORD-41158,Closed,487,692
RET-50286,Warranty Claim,2025-05-30,2025-06-16,CUST-10564,SR-82243,PROD-11182,ORD-41765,Closed,285,3325
RET-50287,Warranty Claim,2025-03-28,2025-05-23,CUST-10640,SR-83038,PROD-11966,ORD-41990,Approved,4854,261
RET-50288,Damaged,2025-03-16,2025-07-11,CUST-10668,SR-82118,PROD-11573,ORD-40542,Approved,4983,459
RET-50289,Wrong Item,2025-05-21,2025-06-25,CUST-10360,SR-83945,PROD-11625,ORD-42553,Approved,700,3867
RET-50290,Wrong Item,2025-04-06,2025-02-17,CUST-10024,SR-81808,PROD-11784,ORD-41415,Approved,4477,946
RET-50291,Defective,2025-05-06,2025-06-07,CUST-10987,SR-82535,PROD-11294,ORD-43129,Closed,1148,820
RET-50292,Defective,2025-04-30,2025-04-24,CUST-10826,SR-81522,PROD-11339,ORD-42282,Closed,4821,2418
RET-50293,Warranty Claim,2025-06-08,2025-08-17,CUST-10468,SR-84981,PROD-11680,ORD-40526,Rejected,3560,1687
RET-50294,Wrong Item,2025-06-18,2025-02-07,CUST-10245,SR-82426,PROD-11067,ORD-43803,Approved,3989,1324
RET-50295,Wrong Item,2025-05-22,2025-07-06,CUST-10877,SR-80961,PROD-11550,ORD-40416,Approved,3030,2345
RET-50296,Defective,2025-02-20,2025-02-28,CUST-10814,SR-81115,PROD-11258,ORD-40460,Rejected,2720,2126
RET-50297,Customer Dissatisfaction,2025-01-17,2025-03-02,CUST-10240,SR-84511,PROD-11768,ORD-44130,Open,3275,2152
RET-50298,Damaged,2025-02-20,2025-02-03,CUST-10173,SR-83703,PROD-11562,ORD-44819,Rejected,3832,2869
RET-50299,Wrong Item,2025-02-22,2025-05-23,CUST-10907,SR-82379,PROD-11260,ORD-41326,Approved,3507,3022
RET-50300,Damaged,2025-07-16,2025-03-02,CUST-10334,SR-84538,PROD-11726,ORD-41112,Closed,1571,738
RET-50301,Wrong Item,2025-06-30,2025-07-29,CUST-10203,SR-82632,PROD-11473,ORD-44938,Closed,4644,1700
RET-50302,Wrong Item,2025-08-24,2025-08-15,CUST-10327,SR-84178,PROD-11109,ORD-41691,Open,691,3770
RET-50303,Wrong Item,2025-03-19,2025-01-20,CUST-10262,SR-81105,PROD-11518,ORD-40209,Open,3272,3631
RET-50304,Defective,2025-02-23,2025-04-17,CUST-10547,SR-83898,PROD-11360,ORD-44385,Rejected,1064,2430
RET-50305,Customer Dissatisfaction,2025-01-04,2025-04-29,CUST-10714,SR-84955,PROD-11013,ORD-40105,Rejected,1267,1187
RET-50306,Defective,2025-08-14,2025-01-10,CUST-10339,SR-84990,PROD-11305,ORD-42668,Approved,3480,3171
RET-50307,Wrong Item,2025-04-03,2025-05-22,CUST-10146,SR-84528,PROD-11595,ORD-44975,Approved,4746,2382
RET-50308,Customer Dissatisfaction,2025-08-15,2025-02-19,CUST-10467,SR-84516,PROD-11976,ORD-44984,Open,3777,1088
RET-50309,Customer Dissatisfaction,2025-03-07,2025-06-28,CUST-10206,SR-84716,PROD-11301,ORD-40599,Approved,1631,3551
RET-50310,Defective,2025-02-12,2025-08-02,CUST-10562,SR-84319,PROD-11908,ORD-41258,Closed,1117,3525
RET-50311,Customer Dissatisfaction,2025-07-30,2025-04-07,CUST-10027,SR-84315,PROD-11252,ORD-43261,In Progress,1450,180
RET-50312,Damaged,2025-07-28,2025-06-26,CUST-10693,SR-84411,PROD-11502,ORD-40540,In Progress,3285,746
RET-50313,Wrong Item,2025-03-23,2025-04-28,CUST-10208,SR-83391,PROD-11772,ORD-44576,Open,1005,3749
RET-50314,Customer Dissatisfaction,2025-02-12,2025-08-09,CUST-10633,SR-80188,PROD-11458,ORD-43313,Approved,3099,3191
RET-50315,Wrong Item,2025-05-11,2025-03-25,CUST-10547,SR-81091,PROD-11700,ORD-42738,In Progress,304,3997
RET-50316,Wrong Item,2025-05-15,2025-03-22,CUST-10686,SR-84300,PROD-11355,ORD-44837,Rejected,1811,3747
RET-50317,Wrong Item,2025-03-18,2025-07-18,CUST-10937,SR-84092,PROD-11940,ORD-42669,Closed,3031,798
RET-50318,Damaged,2025-02-14,2025-08-21,CUST-10686,SR-83613,PROD-11357,ORD-41691,In Progress,4817,1728
RET-50319,Warranty Claim,2025-05-13,2025-03-03,CUST-10646,SR-80306,PROD-11580,ORD-43475,Approved,159,2300
RET-50320,Wrong Item,2025-06-10,2025-05-16,CUST-10367,SR-80662,PROD-11205,ORD-44004,Rejected,3049,3471
RET-50321,Damaged,2025-03-06,2025-05-06,CUST-10688,SR-82806,PROD-11088,ORD-44004,Closed,2880,806
RET-50322,Customer Dissatisfaction,2025-02-27,2025-04-22,CUST-10017,SR-80679,PROD-11957,ORD-43528,Open,1619,1506
RET-50323,Wrong Item,2025-02-19,2025-07-31,CUST-10260,SR-82170,PROD-11245,ORD-40356,Open,2074,1814
RET-50324,Damaged,2025-05-21,2025-01-16,CUST-10224,SR-84176,PROD-11869,ORD-42607,Approved,3126,3660
RET-50325,Wrong Item,2025-05-19,2025-05-10,CUST-10457,SR-80563,PROD-11025,ORD-44802,Closed,1297,3687
RET-50326,Customer Dissatisfaction,2025-01-13,2025-05-01,CUST-10392,SR-81060,PROD-11567,ORD-44499,Open,1589,972
RET-50327,Damaged,2025-03-30,2025-04-23,CUST-10179,SR-81263,PROD-11748,ORD-43007,Closed,4586,1121
RET-50328,Defective,2025-07-03,2025-06-20,CUST-10372,SR-82858,PROD-11541,ORD-44069,Rejected,2957,2267
RET-50329,Customer Dissatisfaction,2025-05-07,2025-02-23,CUST-10127,SR-82001,PROD-11714,ORD-43223,Closed,3367,1802
RET-50330,Damaged,2025-04-01,2025-05-05,CUST-10252,SR-83493,PROD-11815,ORD-41930,Approved,4283,1306
RET-50331,Defective,2025-08-25,2025-06-04,CUST-10409,SR-84935,PROD-11483,ORD-43965,Closed,868,2252
RET-50332,Damaged,2025-07-22,2025-01-19,CUST-10304,SR-82758,PROD-11412,ORD-41593,In Progress,1513,3270
RET-50333,Warranty Claim,2025-04-18,2025-02-22,CUST-10224,SR-80890,PROD-11148,ORD-42113,Closed,1659,1944
RET-50334,Damaged,2025-05-26,2025-01-17,CUST-10886,SR-80986,PROD-11129,ORD-43441,Closed,4819,2909
RET-50335,Customer Dissatisfaction,2025-06-28,2025-02-17,CUST-10139,SR-80184,PROD-11928,ORD-43139,Approved,401,1115
RET-50336,Damaged,2025-01-22,2025-02-03,CUST-10504,SR-81626,PROD-11645,ORD-44757,Open,2467,2786
RET-50337,Customer Dissatisfaction,2025-03-23,2025-03-05,CUST-10362,SR-82718,PROD-11142,ORD-44250,Rejected,1311,2142
RET-50338,Damaged,2025-02-04,2025-07-03,CUST-10257,SR-81436,PROD-11943,ORD-41537,In Progress,245,1521
RET-50339,Customer Dissatisfaction,2025-05-24,2025-06-26,CUST-10404,SR-81941,PROD-11917,ORD-44623,Closed,4980,870
RET-50340,Customer Dissatisfaction,2025-08-01,2025-04-08,CUST-10838,SR-80675,PROD-11377,ORD-41411,Approved,2984,1395
RET-50341,Wrong Item,2025-07-13,2025-01-01,CUST-10743,SR-82510,PROD-11763,ORD-42799,Approved,4212,3875
RET-50342,Wrong Item,2025-07-04,2025-07-28,CUST-10457,SR-84526,PROD-11823,ORD-40454,Open,1720,3315
RET-50343,Warranty Claim,2025-03-18,2025-03-22,CUST-10362,SR-82843,PROD-11186,ORD-44016,Closed,3297,2678
RET-50344,Defective,2025-08-10,2025-04-13,CUST-10471,SR-82928,PROD-11447,ORD-41812,Rejected,4002,1738
RET-50345,Warranty Claim,2025-08-30,2025-06-23,CUST-10910,SR-81382,PROD-11154,ORD-41919,Open,3538,3863
RET-50346,Damaged,2025-05-20,2025-01-26,CUST-10154,SR-81565,PROD-11396,ORD-41848,Closed,445,1849
RET-50347,Damaged,2025-04-10,2025-03-02,CUST-10807,SR-81550,PROD-11021,ORD-41272,Rejected,3237,1563
RET-50348,Damaged,2025-03-01,2025-06-25,CUST-10934,SR-81490,PROD-11683,ORD-42410,Rejected,4514,1052
RET-50349,Damaged,2025-08-09,2025-06-16,CUST-10168,SR-84072,PROD-11541,ORD-40671,Open,4745,3812
RET-50350,Customer Dissatisfaction,2025-01-28,2025-04-12,CUST-10718,SR-84479,PROD-11772,ORD-42581,Approved,142,1808
RET-50351,Warranty Claim,2025-08-22,2025-06-27,CUST-10340,SR-82153,PROD-11723,ORD-40439,Approved,311,404
RET-50352,Defective,2025-05-10,2025-03-10,CUST-10090,SR-81499,PROD-11503,ORD-43661,Closed,4499,1161
RET-50353,Warranty Claim,2025-06-21,2025-05-14,CUST-10119,SR-82882,PROD-11096,ORD-43734,Approved,940,2139
RET-50354,Defective,2025-01-08,2025-06-10,CUST-10118,SR-83088,PROD-11475,ORD-44404,Rejected,2684,2623
RET-50355,Wrong Item,2025-04-19,2025-03-05,CUST-10736,SR-83465,PROD-11355,ORD-42459,Closed,4122,2020
RET-50356,Damaged,2025-01-20,2025-07-31,CUST-10856,SR-84936,PROD-11992,ORD-41548,Open,2346,1606
RET-50357,Customer Dissatisfaction,2025-04-23,2025-08-13,CUST-10455,SR-84853,PROD-11031,ORD-42833,Open,4691,843
RET-50358,Customer Dissatisfaction,2025-01-01,2025-02-23,CUST-10074,SR-83200,PROD-11493,ORD-43443,Closed,421,3709
RET-50359,Customer Dissatisfaction,2025-03-13,2025-08-04,CUST-10316,SR-80832,PROD-11708,ORD-40796,In Progress,4096,352
RET-50360,Warranty Claim,2025-07-10,2025-02-05,CUST-10760,SR-82750,PROD-11297,ORD-43289,Approved,2489,244
RET-50361,Wrong Item,2025-04-28,2025-06-06,CUST-10914,SR-80230,PROD-11546,ORD-43012,Closed,4721,3083
RET-50362,Defective,2025-07-30,2025-02-05,CUST-10036,SR-81649,PROD-11664,ORD-44909,Open,642,2973
RET-50363,Warranty Claim,2025-02-02,2025-03-04,CUST-10580,SR-83361,PROD-11900,ORD-41523,Closed,2508,3780
RET-50364,Customer Dissatisfaction,2025-08-31,2025-06-03,CUST-10396,SR-84384,PROD-11032,ORD-44995,Approved,1975,3254
RET-50365,Warranty Claim,2025-08-15,2025-01-09,CUST-10176,SR-80719,PROD-11742,ORD-44062,Approved,3262,3594
RET-50366,Customer Dissatisfaction,2025-03-31,2025-01-28,CUST-10503,SR-82682,PROD-11439,ORD-42238,In Progress,2349,3923
RET-50367,Wrong Item,2025-03-22,2025-03-25,CUST-10527,SR-82863,PROD-11555,ORD-42475,Approved,1708,3905
RET-50368,Warranty Claim,2025-07-04,2025-07-30,CUST-10163,SR-84781,PROD-11462,ORD-41425,Rejected,2214,3177
RET-50369,Defective,2025-03-01,2025-05-05,CUST-10798,SR-81197,PROD-11609,ORD-42689,Open,4644,1850
RET-50370,Damaged,2025-01-16,2025-05-26,CUST-10884,SR-80623,PROD-11569,ORD-42513,Approved,2558,2770
RET-50371,Customer Dissatisfaction,2025-01-04,2025-07-16,CUST-10298,SR-84708,PROD-11513,ORD-42006,Closed,4884,1540
RET-50372,Warranty Claim,2025-07-20,2025-03-14,CUST-10786,SR-82117,PROD-11912,ORD-43427,Closed,328,778
RET-50373,Wrong Item,2025-01-12,2025-01-08,CUST-10816,SR-84367,PROD-11256,ORD-40181,Open,3115,3022
RET-50374,Wrong Item,2025-06-06,2025-07-23,CUST-10802,SR-82342,PROD-11396,ORD-43836,Approved,1154,3467
RET-50375,Defective,2025-07-31,2025-02-02,CUST-10813,SR-81807,PROD-11117,ORD-42681,Approved,1158,2817
RET-50376,Defective,2025-07-30,2025-01-28,CUST-10825,SR-82836,PROD-11839,ORD-44493,Approved,234,3562
RET-50377,Warranty Claim,2025-07-09,2025-03-09,CUST-10765,SR-83610,PROD-11672,ORD-40524,Open,1497,2058
RET-50378,Damaged,2025-07-30,2025-05-31,CUST-10110,SR-84375,PROD-11268,ORD-42390,In Progress,533,3742
RET-50379,Wrong Item,2025-04-03,2025-06-17,CUST-10260,SR-81558,PROD-11445,ORD-44616,Rejected,2493,922
RET-50380,Warranty Claim,2025-05-01,2025-05-25,CUST-10361,SR-82235,PROD-11462,ORD-41769,Approved,3518,1612
RET-50381,Wrong Item,2025-02-26,2025-06-30,CUST-10068,SR-80738,PROD-11335,ORD-43904,Approved,686,789
RET-50382,Damaged,2025-05-03,2025-07-08,CUST-10457,SR-80799,PROD-11643,ORD-43948,Rejected,4388,1094
RET-50383,Damaged,2025-04-22,2025-04-02,CUST-10354,SR-84654,PROD-11765,ORD-41236,Closed,394,2963
RET-50384,Customer Dissatisfaction,2025-05-19,2025-01-29,CUST-10536,SR-84381,PROD-11563,ORD-40780,Rejected,2550,2889
RET-50385,Warranty Claim,2025-08-03,2025-03-07,CUST-10027,SR-80388,PROD-11427,ORD-44147,Rejected,3450,3486
RET-50386,Damaged,2025-04-16,2025-06-22,CUST-10189,SR-83539,PROD-11675,ORD-41143,Rejected,501,2802
RET-50387,Defective,2025-06-02,2025-07-29,CUST-10213,SR-80980,PROD-11841,ORD-41017,Closed,991,2428
RET-50388,Customer Dissatisfaction,2025-05-02,2025-03-15,CUST-10929,SR-83175,PROD-11431,ORD-43677,Closed,1684,2622
RET-50389,Wrong Item,2025-07-20,2025-08-30,CUST-10059,SR-83458,PROD-11341,ORD-40390,Open,3188,2564
RET-50390,Wrong Item,2025-01-09,2025-06-22,CUST-10174,SR-81792,PROD-11155,ORD-42737,Closed,2496,456
RET-50391,Damaged,2025-03-29,2025-07-21,CUST-10149,SR-84130,PROD-11638,ORD-43349,Closed,1123,2329
RET-50392,Warranty Claim,2025-03-14,2025-02-28,CUST-10336,SR-80709,PROD-11414,ORD-41198,Open,4677,603
RET-50393,Defective,2025-03-21,2025-05-27,CUST-10245,SR-80951,PROD-11928,ORD-40368,Rejected,3326,592
RET-50394,Customer Dissatisfaction,2025-06-12,2025-03-25,CUST-10395,SR-82080,PROD-11873,ORD-41682,In Progress,4656,1292
RET-50395,Defective,2025-03-16,2025-03-08,CUST-10022,SR-84270,PROD-11440,ORD-41561,Closed,4013,3982
RET-50396,Wrong Item,2025-03-08,2025-06-07,CUST-10709,SR-80916,PROD-11099,ORD-41894,Closed,2694,499
RET-50397,Defective,2025-05-23,2025-04-01,CUST-10391,SR-81176,PROD-11868,ORD-42800,Rejected,3675,688
RET-50398,Customer Dissatisfaction,2025-04-19,2025-06-28,CUST-10116,SR-80682,PROD-11489,ORD-41078,Approved,4263,1414
RET-50399,Damaged,2025-03-09,2025-04-11,CUST-10167,SR-82346,PROD-11982,ORD-44648,Closed,188,929
RET-50400,Customer Dissatisfaction,2025-08-12,2025-07-02,CUST-10443,SR-83385,PROD-11090,ORD-42494,Open,2268,3624
RET-50401,Customer Dissatisfaction,2025-04-04,2025-01-01,CUST-10958,SR-83093,PROD-11629,ORD-44783,Open,4935,3293
RET-50402,Customer Dissatisfaction,2025-02-24,2025-05-20,CUST-10854,SR-81592,PROD-11819,ORD-43457,Approved,4619,1422
RET-50403,Warranty Claim,2025-07-19,2025-01-03,CUST-10928,SR-81435,PROD-11348,ORD-40942,Rejected,3123,54
RET-50404,Damaged,2025-03-11,2025-07-25,CUST-10656,SR-80172,PROD-11138,ORD-41997,In Progress,1960,1144
RET-50405,Customer Dissatisfaction,2025-08-20,2025-01-29,CUST-10701,SR-82297,PROD-11529,ORD-42992,In Progress,1769,382
RET-50406,Warranty Claim,2025-08-01,2025-01-29,CUST-10034,SR-82795,PROD-11532,ORD-40123,Rejected,4899,439
RET-50407,Damaged,2025-03-16,2025-03-15,CUST-10600,SR-82888,PROD-11530,ORD-41047,In Progress,2638,1951
RET-50408,Defective,2025-01-26,2025-05-09,CUST-10618,SR-82265,PROD-11462,ORD-43614,Rejected,2487,1942
RET-50409,Customer Dissatisfaction,2025-03-07,2025-06-20,CUST-10278,SR-80935,PROD-11634,ORD-43333,Closed,859,1985
RET-50410,Wrong Item,2025-03-25,2025-05-28,CUST-10382,SR-84829,PROD-11878,ORD-41261,Open,3481,2616
RET-50411,Customer Dissatisfaction,2025-01-20,2025-07-05,CUST-10872,SR-84703,PROD-11048,ORD-42400,Approved,461,1450
RET-50412,Warranty Claim,2025-01-20,2025-07-21,CUST-10579,SR-81922,PROD-11712,ORD-40025,Open,147,1515
RET-50413,Warranty Claim,2025-07-26,2025-06-27,CUST-10478,SR-81703,PROD-11963,ORD-41208,In Progress,4865,2708
RET-50414,Damaged,2025-06-26,2025-06-04,CUST-10676,SR-80906,PROD-11948,ORD-43694,Open,3473,2544
RET-50415,Defective,2025-06-05,2025-02-13,CUST-10023,SR-82782,PROD-11918,ORD-41822,Approved,3227,969
RET-50416,Damaged,2025-07-07,2025-02-13,CUST-10430,SR-83816,PROD-11612,ORD-40400,Approved,1625,3191
RET-50417,Customer Dissatisfaction,2025-01-13,2025-03-10,CUST-10145,SR-84760,PROD-11536,ORD-43465,Approved,4841,3523
RET-50418,Wrong Item,2025-05-30,2025-03-12,CUST-10262,SR-84494,PROD-11162,ORD-43966,Open,1522,1958
RET-50419,Warranty Claim,2025-04-26,2025-08-28,CUST-10386,SR-84156,PROD-11082,ORD-42982,Open,2878,3947
RET-50420,Defective,2025-07-27,2025-07-03,CUST-10360,SR-84267,PROD-11605,ORD-42032,In Progress,4066,1842
RET-50421,Wrong Item,2025-03-14,2025-02-14,CUST-10830,SR-83975,PROD-11381,ORD-41960,Closed,1570,1741
RET-50422,Wrong Item,2025-06-11,2025-01-23,CUST-10340,SR-80454,PROD-11786,ORD-44615,Approved,4179,3450
RET-50423,Defective,2025-04-03,2025-07-11,CUST-10723,SR-81061,PROD-11952,ORD-43072,Closed,825,3359
RET-50424,Warranty Claim,2025-03-13,2025-06-13,CUST-10493,SR-82977,PROD-11955,ORD-42516,In Progress,942,3498
RET-50425,Defective,2025-06-19,2025-06-21,CUST-10169,SR-80723,PROD-11382,ORD-44876,Approved,1618,942
RET-50426,Damaged,2025-08-23,2025-04-05,CUST-10828,SR-81424,PROD-11682,ORD-43576,Open,2053,1677
RET-50427,Customer Dissatisfaction,2025-03-26,2025-08-13,CUST-10830,SR-82893,PROD-11741,ORD-44635,Open,2332,3696
RET-50428,Wrong Item,2025-01-31,2025-02-21,CUST-10662,SR-81119,PROD-11702,ORD-43664,Rejected,1456,811
RET-50429,Damaged,2025-06-06,2025-03-21,CUST-10046,SR-83661,PROD-11105,ORD-43633,Open,3637,431
RET-50430,Damaged,2025-08-20,2025-01-20,CUST-10444,SR-82017,PROD-11982,ORD-41100,Closed,3711,1758
RET-50431,Warranty Claim,2025-04-08,2025-05-31,CUST-10843,SR-83330,PROD-11497,ORD-41650,Approved,2847,3301
RET-50432,Warranty Claim,2025-08-25,2025-07-30,CUST-10466,SR-82273,PROD-11215,ORD-40637,In Progress,3744,1665
RET-50433,Customer Dissatisfaction,2025-08-08,2025-04-12,CUST-10016,SR-80887,PROD-11226,ORD-42357,Closed,1685,363
RET-50434,Customer Dissatisfaction,2025-05-22,2025-03-16,CUST-10105,SR-82175,PROD-11660,ORD-43422,Open,1337,181
