Prod Name,Weight (Oz),Length (cm),Width (Cm),Height (Cm),Capacity,Temperature (F),P_ID
Insight360,19,36,13,10,1TB,-4–140,PROD-11195
NetConnect,10,55,31,35,5TB,14–122,PROD-11866
Insight360,16,55,5,13,5TB,0–158,PROD-11827
CoreAnalytics,26,43,25,27,250GB,14–122,PROD-11296
NetConnect,9,39,21,21,2TB,0–158,PROD-11320
DataSphere,20,31,20,22,5TB,-4–140,PROD-11095
CloudEdge,13,31,25,25,250GB,-4–140,PROD-11316
CloudEdge,12,28,25,17,1TB,0–158,PROD-11504
CloudEdge,21,17,31,37,250GB,14–122,PROD-11920
NetConnect,32,40,27,15,250GB,10–120,PROD-11650
NetConnect,39,59,22,15,1TB,10–120,PROD-11594
NetConnect,35,19,18,20,1TB,0–158,PROD-11423
NetConnect,27,24,15,13,500GB,-4–140,PROD-11198
DataSphere,17,37,11,33,1TB,10–120,PROD-11561
CoreAnalytics,34,41,32,15,500GB,0–158,PROD-11900
CoreAnalytics,38,34,18,20,2TB,10–120,PROD-11028
DataSphere,40,29,32,25,250GB,14–122,PROD-11237
Insight360,35,34,12,17,500GB,10–120,PROD-11746
CloudEdge,31,26,28,17,2TB,-4–140,PROD-11352
DataSphere,15,30,20,5,500GB,-4–140,PROD-11724
NetConnect,29,60,25,27,250GB,-4–140,PROD-11047
DataSphere,25,34,34,19,5TB,32–104,PROD-11787
CloudEdge,27,11,22,15,2TB,10–120,PROD-11031
NetConnect,9,37,35,6,5TB,14–122,PROD-11178
Insight360,27,50,17,21,5TB,32–104,PROD-11836
Insight360,8,10,31,30,500GB,-4–140,PROD-11979
Insight360,32,24,28,9,1TB,14–122,PROD-11859
CloudEdge,33,58,8,22,500GB,10–120,PROD-11586
Insight360,26,28,14,15,250GB,-4–140,PROD-11563
NetConnect,20,23,18,33,5TB,10–120,PROD-11122
CoreAnalytics,34,22,14,24,500GB,10–120,PROD-11843
CloudEdge,17,29,21,37,500GB,14–122,PROD-11043
NetConnect,39,42,8,13,250GB,32–104,PROD-11237
NetConnect,8,48,35,5,250GB,32–104,PROD-11414
CoreAnalytics,39,39,10,19,5TB,32–104,PROD-11325
CloudEdge,30,24,11,12,1TB,10–120,PROD-11513
CoreAnalytics,25,20,12,19,2TB,0–158,PROD-11511
DataSphere,39,43,31,22,250GB,14–122,PROD-11434
NetConnect,8,10,8,28,5TB,10–120,PROD-11026
NetConnect,33,22,16,25,250GB,-4–140,PROD-11519
CloudEdge,29,33,33,11,2TB,14–122,PROD-11940
CloudEdge,38,15,17,22,1TB,-4–140,PROD-11929
Insight360,29,49,21,9,250GB,0–158,PROD-11404
CloudEdge,8,47,31,16,1TB,10–120,PROD-11223
Insight360,38,52,16,11,2TB,14–122,PROD-11959
NetConnect,32,28,23,24,1TB,32–104,PROD-11644
CloudEdge,31,42,5,14,5TB,10–120,PROD-11225
CloudEdge,27,57,8,11,250GB,14–122,PROD-11024
DataSphere,32,18,29,16,2TB,10–120,PROD-11220
NetConnect,33,12,19,22,5TB,14–122,PROD-11991
Insight360,38,40,26,6,2TB,10–120,PROD-11466
CoreAnalytics,23,16,17,12,5TB,32–104,PROD-11660
DataSphere,35,45,10,11,500GB,-4–140,PROD-11155
NetConnect,38,42,27,28,500GB,32–104,PROD-11904
CoreAnalytics,11,47,12,31,5TB,14–122,PROD-11799
NetConnect,39,47,23,33,2TB,14–122,PROD-11679
DataSphere,34,32,14,34,2TB,14–122,PROD-11022
Insight360,23,28,32,17,5TB,14–122,PROD-11152
NetConnect,36,56,20,6,1TB,32–104,PROD-11347
Insight360,28,41,21,23,500GB,0–158,PROD-11824
NetConnect,17,51,22,14,500GB,-4–140,PROD-11217
DataSphere,30,51,5,38,2TB,10–120,PROD-11033
CloudEdge,19,37,35,10,2TB,0–158,PROD-11569
Insight360,29,11,11,5,5TB,10–120,PROD-11133
NetConnect,23,28,28,6,2TB,-4–140,PROD-11885
CoreAnalytics,10,44,35,23,2TB,10–120,PROD-11162
NetConnect,12,23,35,8,2TB,14–122,PROD-11890
Insight360,10,24,13,29,250GB,32–104,PROD-11597
DataSphere,18,50,26,16,500GB,0–158,PROD-11912
NetConnect,21,14,7,8,250GB,32–104,PROD-11141
DataSphere,30,35,11,37,2TB,-4–140,PROD-11947
CoreAnalytics,9,40,34,25,5TB,32–104,PROD-11917
Insight360,33,57,20,38,2TB,32–104,PROD-11323
DataSphere,16,42,21,19,500GB,14–122,PROD-11007
NetConnect,39,56,6,24,1TB,14–122,PROD-11970
CloudEdge,11,60,23,25,2TB,14–122,PROD-11210
NetConnect,25,30,13,35,250GB,0–158,PROD-11424
DataSphere,36,44,19,30,1TB,0–158,PROD-11224
CoreAnalytics,8,13,28,19,5TB,10–120,PROD-11480
CoreAnalytics,22,50,26,9,5TB,-4–140,PROD-11747
DataSphere,31,50,28,36,5TB,32–104,PROD-11755
CoreAnalytics,12,53,12,6,1TB,10–120,PROD-11456
DataSphere,21,54,34,6,5TB,32–104,PROD-11874
DataSphere,16,45,33,21,1TB,32–104,PROD-11367
Insight360,10,43,19,31,250GB,10–120,PROD-11839
CloudEdge,34,15,10,40,500GB,-4–140,PROD-11758
CloudEdge,40,59,27,16,500GB,0–158,PROD-11485
NetConnect,16,60,16,21,500GB,14–122,PROD-11536
NetConnect,24,60,5,7,500GB,14–122,PROD-11007
CoreAnalytics,34,14,17,36,500GB,10–120,PROD-11266
CloudEdge,9,55,33,21,2TB,10–120,PROD-11605
CoreAnalytics,35,16,29,18,1TB,14–122,PROD-11086
DataSphere,11,15,25,24,2TB,32–104,PROD-11481
CoreAnalytics,19,22,14,11,2TB,14–122,PROD-11334
CloudEdge,29,50,12,15,500GB,-4–140,PROD-11878
Insight360,39,10,33,27,500GB,-4–140,PROD-11756
CloudEdge,37,14,23,6,2TB,32–104,PROD-11230
CloudEdge,14,27,12,30,250GB,0–158,PROD-11243
CoreAnalytics,15,53,26,35,2TB,14–122,PROD-11490
CoreAnalytics,16,56,32,31,500GB,32–104,PROD-11144
DataSphere,21,42,19,5,250GB,32–104,PROD-11667
Insight360,17,42,21,26,500GB,32–104,PROD-11401
DataSphere,13,51,21,13,1TB,0–158,PROD-11412
Insight360,32,23,17,36,250GB,32–104,PROD-11566
NetConnect,22,22,20,35,1TB,10–120,PROD-11594
Insight360,18,52,20,23,2TB,0–158,PROD-11761
CoreAnalytics,23,38,6,5,2TB,32–104,PROD-11685
CloudEdge,25,15,8,28,1TB,-4–140,PROD-11674
DataSphere,13,53,34,25,2TB,0–158,PROD-11714
Insight360,9,50,17,14,250GB,14–122,PROD-11971
CoreAnalytics,21,23,29,23,250GB,14–122,PROD-11435
DataSphere,15,50,34,12,2TB,14–122,PROD-11990
NetConnect,37,24,19,37,500GB,-4–140,PROD-11991
Insight360,16,31,23,15,250GB,10–120,PROD-11617
NetConnect,21,40,29,24,5TB,14–122,PROD-11531
Insight360,14,33,32,13,1TB,0–158,PROD-11948
DataSphere,10,56,33,38,2TB,0–158,PROD-11348
NetConnect,14,42,33,26,2TB,14–122,PROD-11742
CloudEdge,40,31,9,32,250GB,0–158,PROD-11451
NetConnect,9,13,34,10,250GB,-4–140,PROD-11006
CoreAnalytics,26,10,10,39,2TB,-4–140,PROD-11969
CoreAnalytics,11,37,24,5,5TB,10–120,PROD-11128
NetConnect,30,47,26,15,2TB,10–120,PROD-11384
CoreAnalytics,26,58,12,5,1TB,0–158,PROD-11863
CoreAnalytics,18,56,26,40,250GB,14–122,PROD-11730
DataSphere,40,23,12,5,250GB,14–122,PROD-11575
Insight360,18,47,18,22,2TB,14–122,PROD-11542
DataSphere,10,35,15,12,500GB,-4–140,PROD-11874
DataSphere,21,44,29,35,1TB,0–158,PROD-11287
NetConnect,11,58,24,9,250GB,-4–140,PROD-11739
NetConnect,32,49,14,38,2TB,-4–140,PROD-11887
CoreAnalytics,15,28,31,24,500GB,10–120,PROD-11301
DataSphere,9,19,14,10,1TB,32–104,PROD-11375
CloudEdge,18,41,32,23,1TB,10–120,PROD-11535
CoreAnalytics,34,17,15,18,250GB,32–104,PROD-11029
NetConnect,32,20,33,35,250GB,32–104,PROD-11784
Insight360,21,45,6,9,500GB,10–120,PROD-11085
Insight360,34,40,28,39,250GB,0–158,PROD-11583
NetConnect,33,35,24,33,1TB,10–120,PROD-11194
CloudEdge,29,59,35,10,1TB,0–158,PROD-11371
NetConnect,38,38,20,9,2TB,14–122,PROD-11591
CloudEdge,12,13,28,16,250GB,0–158,PROD-11037
DataSphere,32,10,21,23,500GB,32–104,PROD-11804
CloudEdge,13,51,26,39,2TB,10–120,PROD-11867
DataSphere,27,11,11,18,5TB,-4–140,PROD-11512
DataSphere,20,46,24,13,500GB,14–122,PROD-11670
DataSphere,38,36,13,16,500GB,0–158,PROD-11514
CoreAnalytics,16,22,11,11,500GB,32–104,PROD-11647
CloudEdge,37,59,27,24,2TB,14–122,PROD-11090
CoreAnalytics,11,55,18,5,250GB,-4–140,PROD-11751
NetConnect,22,27,26,17,1TB,0–158,PROD-11994
CloudEdge,14,37,29,29,500GB,10–120,PROD-11454
Insight360,17,29,10,10,500GB,14–122,PROD-11334
DataSphere,20,40,28,23,1TB,32–104,PROD-11345
DataSphere,34,35,13,40,2TB,10–120,PROD-11238
NetConnect,26,52,32,30,5TB,0–158,PROD-11156
CloudEdge,8,42,25,6,250GB,0–158,PROD-11555
CoreAnalytics,22,41,21,39,2TB,14–122,PROD-11473
DataSphere,40,41,6,25,500GB,32–104,PROD-11248
CoreAnalytics,10,13,14,28,250GB,14–122,PROD-11298
NetConnect,33,55,6,5,5TB,0–158,PROD-11427
NetConnect,26,51,31,9,2TB,0–158,PROD-11368
Insight360,18,30,20,23,1TB,0–158,PROD-11222
CoreAnalytics,37,18,31,30,250GB,14–122,PROD-11970
Insight360,36,53,32,34,250GB,-4–140,PROD-11831
DataSphere,27,51,22,24,5TB,32–104,PROD-11939
Insight360,25,29,30,35,500GB,32–104,PROD-11167
Insight360,11,27,29,26,2TB,0–158,PROD-11760
CloudEdge,33,27,10,8,1TB,32–104,PROD-11701
CloudEdge,36,52,5,22,250GB,10–120,PROD-11328
NetConnect,23,34,7,26,1TB,-4–140,PROD-11267
DataSphere,20,39,34,34,1TB,32–104,PROD-11263
CloudEdge,18,15,16,17,500GB,0–158,PROD-11709
CloudEdge,30,28,15,35,2TB,10–120,PROD-11290
Insight360,15,53,19,19,500GB,-4–140,PROD-11451
CoreAnalytics,27,26,29,26,1TB,10–120,PROD-11520
CloudEdge,34,38,17,18,250GB,-4–140,PROD-11167
DataSphere,25,32,29,8,500GB,14–122,PROD-11655
DataSphere,12,32,18,22,2TB,0–158,PROD-11325
DataSphere,8,19,12,29,5TB,-4–140,PROD-11746
CoreAnalytics,10,41,6,14,5TB,0–158,PROD-11149
CoreAnalytics,13,60,18,15,500GB,32–104,PROD-11261
NetConnect,22,42,34,35,250GB,32–104,PROD-11745
CloudEdge,14,54,23,23,5TB,32–104,PROD-11871
NetConnect,33,14,20,6,250GB,14–122,PROD-11985
CoreAnalytics,34,53,11,29,250GB,0–158,PROD-11670
CloudEdge,23,54,13,11,5TB,-4–140,PROD-11411
CoreAnalytics,16,42,11,37,1TB,32–104,PROD-11738
Insight360,26,24,35,20,2TB,14–122,PROD-11786
CoreAnalytics,36,44,34,32,2TB,-4–140,PROD-11378
DataSphere,10,41,18,15,2TB,0–158,PROD-11717
CloudEdge,16,46,30,18,500GB,32–104,PROD-11832
CoreAnalytics,15,59,5,33,1TB,0–158,PROD-11781
DataSphere,35,20,6,10,250GB,-4–140,PROD-11283
DataSphere,35,44,15,34,500GB,-4–140,PROD-11736
Insight360,21,33,5,28,2TB,-4–140,PROD-11419
CoreAnalytics,35,15,14,12,2TB,0–158,PROD-11529
CloudEdge,15,53,25,34,5TB,-4–140,PROD-11502
DataSphere,24,19,17,6,250GB,14–122,PROD-11123
NetConnect,17,30,27,40,2TB,-4–140,PROD-11740
NetConnect,31,21,10,28,250GB,14–122,PROD-11821
DataSphere,30,22,11,19,500GB,32–104,PROD-11726
DataSphere,34,21,24,16,5TB,32–104,PROD-11234
DataSphere,13,42,22,37,500GB,14–122,PROD-11282
Insight360,35,25,28,22,5TB,0–158,PROD-11199
NetConnect,9,27,9,24,2TB,10–120,PROD-11143
CoreAnalytics,22,19,8,37,1TB,0–158,PROD-11835
CloudEdge,13,39,23,13,500GB,32–104,PROD-11301
NetConnect,37,14,25,8,1TB,14–122,PROD-11288
Insight360,27,38,13,36,250GB,10–120,PROD-11384
NetConnect,8,37,24,8,1TB,-4–140,PROD-11582
Insight360,22,39,6,20,2TB,32–104,PROD-11171
NetConnect,24,51,22,37,500GB,10–120,PROD-11426
NetConnect,12,46,19,40,250GB,14–122,PROD-11124
Insight360,9,25,16,7,500GB,32–104,PROD-11242
Insight360,21,60,19,29,5TB,32–104,PROD-11559
Insight360,31,41,23,19,250GB,14–122,PROD-11376
CoreAnalytics,37,29,25,12,2TB,32–104,PROD-11306
CoreAnalytics,38,54,33,37,500GB,14–122,PROD-11646
CoreAnalytics,8,50,21,29,2TB,0–158,PROD-11945
Insight360,33,48,22,18,500GB,14–122,PROD-11486
CoreAnalytics,35,33,24,24,5TB,32–104,PROD-11271
NetConnect,37,21,10,26,5TB,32–104,PROD-11264
NetConnect,14,29,21,15,500GB,14–122,PROD-11511
NetConnect,10,32,22,22,5TB,32–104,PROD-11404
CoreAnalytics,18,17,20,5,5TB,-4–140,PROD-11944
CoreAnalytics,37,34,16,27,1TB,0–158,PROD-11586
Insight360,31,42,12,14,250GB,32–104,PROD-11118
CloudEdge,24,55,24,14,5TB,0–158,PROD-11046
CloudEdge,13,49,23,11,500GB,32–104,PROD-11178
CoreAnalytics,24,47,17,20,500GB,10–120,PROD-11132
NetConnect,21,60,24,33,1TB,32–104,PROD-11786
NetConnect,36,60,25,28,500GB,-4–140,PROD-11569
Insight360,29,41,14,26,250GB,14–122,PROD-11511
NetConnect,25,44,26,35,5TB,10–120,PROD-11222
CoreAnalytics,20,46,33,23,250GB,14–122,PROD-11515
NetConnect,9,41,16,35,500GB,14–122,PROD-11178
DataSphere,30,14,21,40,250GB,0–158,PROD-11384
CoreAnalytics,40,50,23,21,250GB,10–120,PROD-11811
CoreAnalytics,19,10,23,22,2TB,0–158,PROD-11675
Insight360,25,10,27,10,250GB,14–122,PROD-11212
Insight360,26,18,24,28,250GB,-4–140,PROD-11992
DataSphere,35,12,34,20,2TB,0–158,PROD-11311
NetConnect,27,14,33,26,250GB,14–122,PROD-11997
CloudEdge,19,22,20,36,250GB,32–104,PROD-11221
Insight360,35,51,22,35,1TB,14–122,PROD-11587
CloudEdge,26,50,5,15,250GB,-4–140,PROD-11503
CloudEdge,36,46,15,30,250GB,-4–140,PROD-11026
CloudEdge,10,21,6,12,500GB,0–158,PROD-11703
CloudEdge,23,25,6,38,5TB,32–104,PROD-11011
NetConnect,29,51,29,32,500GB,32–104,PROD-11542
Insight360,28,57,30,28,2TB,0–158,PROD-11685
Insight360,16,55,31,14,1TB,-4–140,PROD-11796
CloudEdge,22,52,6,5,1TB,0–158,PROD-11732
Insight360,32,42,12,26,500GB,14–122,PROD-11934
CoreAnalytics,30,22,7,19,1TB,-4–140,PROD-11351
CoreAnalytics,37,31,12,24,5TB,32–104,PROD-11204
Insight360,35,57,16,22,5TB,32–104,PROD-11024
DataSphere,13,59,7,6,250GB,14–122,PROD-11700
NetConnect,30,41,31,20,250GB,0–158,PROD-11262
NetConnect,36,26,32,5,500GB,0–158,PROD-11410
NetConnect,30,26,17,34,2TB,14–122,PROD-11516
CoreAnalytics,32,17,11,5,500GB,0–158,PROD-11797
NetConnect,17,50,16,37,250GB,32–104,PROD-12000
CloudEdge,35,54,31,21,250GB,10–120,PROD-11465
CoreAnalytics,31,46,7,19,250GB,10–120,PROD-11583
NetConnect,11,34,19,36,250GB,10–120,PROD-11052
NetConnect,30,50,30,17,500GB,-4–140,PROD-11615
DataSphere,15,17,26,23,250GB,32–104,PROD-11813
Insight360,30,29,34,29,5TB,0–158,PROD-12000
CoreAnalytics,34,49,35,24,500GB,0–158,PROD-11756
DataSphere,10,27,11,24,2TB,0–158,PROD-11978
NetConnect,14,35,6,12,1TB,0–158,PROD-11881
CloudEdge,17,10,35,9,1TB,0–158,PROD-11828
DataSphere,20,57,6,17,250GB,-4–140,PROD-11252
CloudEdge,36,10,20,23,2TB,10–120,PROD-11005
DataSphere,21,55,6,30,250GB,-4–140,PROD-11165
CloudEdge,40,47,25,23,500GB,-4–140,PROD-11182
NetConnect,22,13,15,34,500GB,0–158,PROD-11394
Insight360,24,53,7,12,1TB,14–122,PROD-11644
Insight360,32,20,23,14,250GB,10–120,PROD-11199
CoreAnalytics,26,43,7,39,250GB,10–120,PROD-11577
CloudEdge,20,34,11,36,5TB,32–104,PROD-11461
DataSphere,26,30,31,6,1TB,14–122,PROD-11519
CloudEdge,10,50,14,37,2TB,-4–140,PROD-11146
CoreAnalytics,33,19,6,24,5TB,14–122,PROD-11989
DataSphere,37,55,17,17,2TB,14–122,PROD-11843
NetConnect,17,31,20,37,2TB,0–158,PROD-11312
CloudEdge,18,44,6,25,500GB,14–122,PROD-11915
Insight360,23,34,33,30,500GB,-4–140,PROD-11975
DataSphere,24,30,21,10,2TB,10–120,PROD-11642
NetConnect,36,25,17,29,500GB,14–122,PROD-11905
CoreAnalytics,15,42,20,28,1TB,32–104,PROD-11279
CoreAnalytics,17,20,34,12,500GB,10–120,PROD-11675
Insight360,26,44,20,36,500GB,-4–140,PROD-11371
CoreAnalytics,26,41,26,16,5TB,14–122,PROD-11776
Insight360,21,52,15,5,500GB,32–104,PROD-11530
CoreAnalytics,27,22,34,32,250GB,14–122,PROD-11024
DataSphere,34,13,32,19,1TB,0–158,PROD-11474
CloudEdge,11,31,25,20,250GB,0–158,PROD-11325
NetConnect,14,43,35,8,1TB,0–158,PROD-11859
Insight360,25,49,15,37,2TB,32–104,PROD-11797
Insight360,19,41,5,15,250GB,14–122,PROD-11168
CoreAnalytics,17,43,7,24,500GB,-4–140,PROD-11065
CoreAnalytics,22,25,6,39,2TB,10–120,PROD-11877
DataSphere,21,46,31,15,250GB,-4–140,PROD-11486
CloudEdge,19,57,31,12,2TB,-4–140,PROD-11633
CloudEdge,25,31,20,6,250GB,-4–140,PROD-11910
CloudEdge,14,29,31,8,500GB,32–104,PROD-11600
CloudEdge,21,18,20,14,500GB,32–104,PROD-11536
CoreAnalytics,29,27,11,38,500GB,10–120,PROD-11532
DataSphere,9,56,15,33,1TB,10–120,PROD-11636
CloudEdge,13,33,35,37,250GB,-4–140,PROD-11116
NetConnect,12,36,29,33,250GB,10–120,PROD-11462
NetConnect,21,52,5,6,5TB,-4–140,PROD-11007
CoreAnalytics,15,56,18,23,500GB,14–122,PROD-11076
CoreAnalytics,17,27,11,14,500GB,0–158,PROD-11019
NetConnect,40,35,18,34,5TB,-4–140,PROD-11187
DataSphere,27,57,9,39,500GB,14–122,PROD-11085
CloudEdge,22,39,31,6,500GB,32–104,PROD-11288
Insight360,20,52,15,36,1TB,32–104,PROD-11437
NetConnect,16,51,33,31,2TB,32–104,PROD-11229
Insight360,16,42,22,26,1TB,-4–140,PROD-11952
DataSphere,9,25,13,33,5TB,32–104,PROD-11295
Insight360,21,56,34,28,250GB,-4–140,PROD-11538
Insight360,34,39,5,32,250GB,0–158,PROD-11327
NetConnect,16,49,10,24,1TB,32–104,PROD-11896
DataSphere,40,27,24,15,5TB,14–122,PROD-11275
DataSphere,23,32,12,34,5TB,0–158,PROD-11716
DataSphere,8,27,12,31,5TB,32–104,PROD-11371
CloudEdge,33,40,21,14,2TB,-4–140,PROD-11604
NetConnect,10,44,20,32,250GB,14–122,PROD-11833
CloudEdge,34,28,17,30,500GB,0–158,PROD-11252
CloudEdge,37,29,7,17,1TB,32–104,PROD-11217
NetConnect,26,33,35,23,2TB,32–104,PROD-11933
CloudEdge,24,11,34,15,2TB,10–120,PROD-11782
CloudEdge,32,58,32,18,2TB,10–120,PROD-11236
DataSphere,31,42,18,33,250GB,-4–140,PROD-11838
DataSphere,33,11,14,8,2TB,0–158,PROD-11698
Insight360,19,44,28,26,1TB,10–120,PROD-11804
Insight360,12,54,10,40,250GB,14–122,PROD-11437
CloudEdge,33,18,9,16,1TB,32–104,PROD-11751
Insight360,37,49,12,14,250GB,32–104,PROD-11890
Insight360,31,40,21,7,1TB,14–122,PROD-11738
CloudEdge,11,50,30,6,500GB,32–104,PROD-11994
DataSphere,25,45,14,26,500GB,10–120,PROD-11952
Insight360,19,21,30,37,2TB,32–104,PROD-11949
CoreAnalytics,10,30,17,20,500GB,32–104,PROD-11023
NetConnect,15,45,22,13,5TB,32–104,PROD-11751
NetConnect,32,23,10,11,5TB,14–122,PROD-11458
DataSphere,19,19,12,5,500GB,10–120,PROD-11113
DataSphere,13,57,16,24,1TB,14–122,PROD-11212
NetConnect,11,47,9,19,250GB,14–122,PROD-11186
Insight360,35,25,10,22,500GB,14–122,PROD-11827
NetConnect,11,29,11,19,1TB,0–158,PROD-11091
DataSphere,24,19,8,21,500GB,32–104,PROD-11742
Insight360,37,37,21,8,2TB,32–104,PROD-11494
CloudEdge,31,44,22,24,1TB,14–122,PROD-11235
Insight360,9,19,32,37,500GB,32–104,PROD-11712
CoreAnalytics,37,34,19,11,1TB,0–158,PROD-11225
CloudEdge,19,58,5,29,500GB,10–120,PROD-11109
CoreAnalytics,29,58,11,10,2TB,14–122,PROD-11040
Insight360,19,33,11,23,500GB,14–122,PROD-11938
NetConnect,15,50,18,23,500GB,14–122,PROD-11153
DataSphere,15,24,30,37,5TB,0–158,PROD-11971
DataSphere,19,48,18,12,1TB,32–104,PROD-11507
DataSphere,30,28,6,33,1TB,32–104,PROD-11955
Insight360,40,49,16,9,2TB,-4–140,PROD-11946
DataSphere,28,34,24,29,250GB,32–104,PROD-11167
CoreAnalytics,11,19,18,12,2TB,0–158,PROD-11328
CloudEdge,28,14,20,35,250GB,-4–140,PROD-11252
CloudEdge,38,29,6,23,5TB,32–104,PROD-11421
Insight360,39,15,6,22,250GB,14–122,PROD-11410
CoreAnalytics,36,34,12,15,1TB,14–122,PROD-11581
CloudEdge,35,44,28,30,5TB,0–158,PROD-11147
CoreAnalytics,19,14,19,34,250GB,-4–140,PROD-11307
DataSphere,12,17,33,10,250GB,10–120,PROD-11453
CloudEdge,35,51,21,5,250GB,32–104,PROD-11732
DataSphere,39,41,30,13,1TB,0–158,PROD-11178
Insight360,32,58,25,11,5TB,10–120,PROD-11827
CloudEdge,29,30,18,11,2TB,-4–140,PROD-11231
CoreAnalytics,11,18,9,33,1TB,32–104,PROD-11665
DataSphere,13,43,23,6,1TB,-4–140,PROD-11812
CoreAnalytics,33,33,10,7,250GB,0–158,PROD-11239
CloudEdge,15,53,15,20,250GB,32–104,PROD-11667
Insight360,20,17,7,13,250GB,32–104,PROD-11791
CloudEdge,27,34,30,11,250GB,-4–140,PROD-11468
CoreAnalytics,14,17,10,18,1TB,-4–140,PROD-11965
Insight360,17,15,29,16,250GB,10–120,PROD-11234
CoreAnalytics,8,17,12,26,500GB,14–122,PROD-11911
NetConnect,32,17,32,34,500GB,10–120,PROD-11376
Insight360,15,37,34,33,500GB,14–122,PROD-11368
CoreAnalytics,36,55,15,36,5TB,-4–140,PROD-11494
NetConnect,40,35,26,21,250GB,0–158,PROD-11357
NetConnect,38,34,28,33,500GB,10–120,PROD-11922
Insight360,8,30,8,22,2TB,0–158,PROD-11096
CloudEdge,37,21,18,22,1TB,-4–140,PROD-11026
Insight360,16,51,16,15,5TB,10–120,PROD-11083
Insight360,20,31,27,7,500GB,0–158,PROD-11691
NetConnect,21,48,23,34,5TB,10–120,PROD-11043
CloudEdge,35,24,33,9,5TB,32–104,PROD-11075
Insight360,13,37,21,38,1TB,32–104,PROD-11856
Insight360,21,35,33,12,1TB,10–120,PROD-11428
Insight360,30,13,11,14,5TB,10–120,PROD-11282
Insight360,13,57,22,32,500GB,0–158,PROD-11363
NetConnect,8,34,14,21,2TB,14–122,PROD-11602
Insight360,9,23,30,14,250GB,10–120,PROD-11281
Insight360,38,35,21,30,1TB,0–158,PROD-11425
NetConnect,31,23,8,24,1TB,14–122,PROD-11277
CoreAnalytics,15,25,21,23,5TB,14–122,PROD-11245
Insight360,29,16,17,12,1TB,32–104,PROD-11691
Insight360,15,22,5,40,2TB,32–104,PROD-11921
NetConnect,37,47,6,25,5TB,10–120,PROD-11782
CoreAnalytics,21,21,21,15,250GB,32–104,PROD-11655
Insight360,14,23,30,19,2TB,10–120,PROD-11330
DataSphere,15,53,22,25,500GB,10–120,PROD-11394
DataSphere,19,60,13,6,250GB,32–104,PROD-11899
CoreAnalytics,31,41,10,39,2TB,10–120,PROD-11246
CloudEdge,12,10,34,40,5TB,14–122,PROD-11645
NetConnect,24,53,25,33,250GB,-4–140,PROD-11977
CoreAnalytics,22,28,32,9,2TB,0–158,PROD-11118
CoreAnalytics,17,36,23,6,2TB,32–104,PROD-11948
DataSphere,28,22,35,28,250GB,0–158,PROD-11038
CoreAnalytics,35,30,13,9,1TB,0–158,PROD-11885
CloudEdge,19,31,10,31,2TB,0–158,PROD-11248
Insight360,13,50,5,38,250GB,32–104,PROD-11078
Insight360,32,14,23,35,1TB,14–122,PROD-11397
CoreAnalytics,26,45,35,5,1TB,32–104,PROD-11747
CloudEdge,22,18,26,28,250GB,10–120,PROD-11722
Insight360,26,28,21,7,2TB,14–122,PROD-11161
Insight360,35,48,26,19,2TB,-4–140,PROD-11335
DataSphere,15,58,6,18,250GB,-4–140,PROD-11300
NetConnect,34,24,5,25,2TB,14–122,PROD-11498
DataSphere,24,40,25,10,2TB,-4–140,PROD-11033
DataSphere,28,12,12,35,500GB,10–120,PROD-11983
CloudEdge,10,53,7,5,2TB,0–158,PROD-11058
CloudEdge,13,48,7,19,2TB,-4–140,PROD-11525
Insight360,32,39,13,34,2TB,32–104,PROD-11563
DataSphere,32,43,21,12,250GB,10–120,PROD-11386
CloudEdge,40,25,35,21,500GB,-4–140,PROD-11217
Insight360,25,36,14,27,250GB,0–158,PROD-11492
CoreAnalytics,30,23,12,33,1TB,0–158,PROD-11613
Insight360,36,21,19,7,2TB,14–122,PROD-11697
Insight360,38,41,34,33,2TB,14–122,PROD-11325
NetConnect,36,53,25,20,500GB,14–122,PROD-11986
CloudEdge,14,60,12,38,1TB,32–104,PROD-11503
CloudEdge,10,30,28,34,500GB,0–158,PROD-11833
Insight360,22,59,15,14,2TB,-4–140,PROD-11628
NetConnect,9,21,24,14,250GB,14–122,PROD-11608
CoreAnalytics,27,34,23,24,1TB,0–158,PROD-11973
NetConnect,20,56,33,29,500GB,14–122,PROD-11083
DataSphere,26,53,27,33,250GB,0–158,PROD-11365
DataSphere,11,35,25,25,2TB,14–122,PROD-11342
Insight360,15,41,17,28,2TB,10–120,PROD-11100
CoreAnalytics,16,22,27,7,5TB,10–120,PROD-11476
NetConnect,24,19,28,37,2TB,0–158,PROD-11050
Insight360,40,45,10,5,5TB,10–120,PROD-11153
CloudEdge,9,46,24,20,5TB,-4–140,PROD-11488
Insight360,9,34,26,37,500GB,-4–140,PROD-11598
CoreAnalytics,34,52,30,26,500GB,10–120,PROD-11534
Insight360,23,53,14,17,5TB,10–120,PROD-11850
NetConnect,25,34,23,30,5TB,14–122,PROD-11566
NetConnect,37,57,10,20,1TB,0–158,PROD-11654
DataSphere,9,51,17,28,500GB,32–104,PROD-11490
DataSphere,36,30,19,9,1TB,0–158,PROD-11979
NetConnect,8,23,17,24,2TB,-4–140,PROD-11204
NetConnect,26,47,35,30,2TB,14–122,PROD-11054
DataSphere,8,52,14,26,5TB,32–104,PROD-11564
NetConnect,13,26,9,12,250GB,-4–140,PROD-11274
